id,slug,name,movement_pattern,primary_muscles,secondary_muscles,contraindications,equipment_json,difficulty,description
,back-squat,Back Squat,squat,"[""quads""]","[""glutes"",""adductors"",""erectors"",""core""]","[""acute_knee_injury"",""acute_lumbar_disc_irritation""]","[""barbell"", ""rack""]",intermediate,Barbell squat to parallel or below with braced trunk and neutral spine.
,front-squat,Front Squat,squat,"[""quads""]","[""glutes"",""upper_back"",""core""]",[],"[""barbell"", ""rack""]",advanced,Barbell squat with front rack position; emphasizes upright torso and quad demand.
,goblet-squat,Goblet Squat,squat,"[""quads""]","[""glutes"",""core""]",[],"[""dumbbell"", ""kettlebell""]",beginner,Hold a dumbbell or kettlebell at chest and squat with controlled depth.
,split-squat,Split Squat,squat,"[""quads""]","[""glutes"",""adductors"",""core""]",[],"[""bodyweight"", ""dumbbell""]",beginner,Stationary lunge position; lower under control keeping front knee tracking over toes.
,walking-lunge,Walking Lunge,squat,"[""quads""]","[""glutes"",""hamstrings"",""calves"",""core""]",[],"[""bodyweight"", ""dumbbell""]",intermediate,Alternating steps into a lunge with upright torso and stable knee alignment.
,step-up,Step-Up,squat,"[""glutes""]","[""quads"",""hamstrings"",""core""]",[],"[""box"", ""dumbbell""]",beginner,Step onto a box/bench driving through the whole foot; control the descent.
,conventional-deadlift,Conventional Deadlift,hinge,"[""glutes""]","[""hamstrings"",""erectors"",""lats"",""core""]","[""acute_lumbar_disc_irritation""]","[""barbell""]",advanced,Hip hinge from the floor with braced trunk; push the ground away and lock out tall.
,romanian-deadlift,Romanian Deadlift,hinge,"[""hamstrings""]","[""glutes"",""erectors"",""lats"",""core""]",[],"[""barbell"", ""dumbbell""]",intermediate,Hinge with soft knees; lower until hamstring stretch then drive hips forward.
,kettlebell-swing,Kettlebell Swing,hinge,"[""glutes""]","[""hamstrings"",""core"",""lats""]",[],"[""kettlebell""]",intermediate,Explosive hip hinge; hike the bell and snap hips to project it forward.
,hip-thrust,Hip Thrust,hinge,"[""glutes""]","[""hamstrings"",""core""]",[],"[""barbell"", ""bench""]",intermediate,Upper back on bench; drive hips up to full extension squeezing glutes at top.
,glute-bridge,Glute Bridge,hinge,"[""glutes""]","[""hamstrings"",""core""]",[],"[""bodyweight""]",beginner,Feet planted; lift hips by squeezing glutes while maintaining rib-down position.
,good-morning,Good Morning,hinge,"[""hamstrings""]","[""glutes"",""erectors"",""core""]",[],"[""barbell""]",advanced,Barbell on upper back; hinge forward with neutral spine and return under control.
,bench-press,Bench Press,push,"[""chest""]","[""triceps"",""front_delts""]",[],"[""barbell"", ""bench""]",intermediate,Press barbell from chest with stable shoulder blades and controlled touch point.
,dumbbell-bench-press,Dumbbell Bench Press,push,"[""chest""]","[""triceps"",""front_delts""]",[],"[""dumbbell"", ""bench""]",beginner,Press dumbbells with neutral wrist and controlled range; keep shoulders packed.
,push-up,Push-Up,push,"[""chest""]","[""triceps"",""front_delts"",""core""]",[],"[""bodyweight""]",beginner,Straight-line body; lower chest toward floor and press while maintaining brace.
,overhead-press,Overhead Press,push,"[""shoulders""]","[""triceps"",""upper_back"",""core""]","[""acute_shoulder_impingement""]","[""barbell""]",intermediate,Press bar overhead with stacked ribs and pelvis; avoid excessive low-back arch.
,dumbbell-shoulder-press,Dumbbell Shoulder Press,push,"[""shoulders""]","[""triceps"",""core""]",[],"[""dumbbell""]",beginner,Press dumbbells overhead with controlled tempo; keep forearms vertical.
,parallel-bar-dip,Parallel Bar Dip,push,"[""triceps""]","[""chest"",""front_delts""]","[""anterior_shoulder_instability""]","[""dip_bars"", ""bodyweight""]",advanced,Lower with shoulders controlled; press to lockout without shrugging.
